fips,state,county,popl,prcnt_white,prcnt_black,prcnt_asian,prcnt_hispanic,avg_age,avg_age_white,avg_age_black,avg_age_asian,avg_age_hispanic,land_area,popl_density,unempl_rate,unempl_rate_chng,med_income,prcnt_poverty,prcnt_chng_gdp,per_capita_gdp,high_sch_grad_rate,college_grad_rate,dem_legis,dem_gov,dem_state,biden_margin_2020,region,tmax_avg,cases_prcnt_1,cases_prcnt_2,cases_prcnt_3,cases_prcnt_tot,deaths_prcnt_1,deaths_prcnt_2,deaths_prcnt_3,deaths_prcnt_tot
2013.0,AK,Aleutians East Borough,3337,0.2112676056338028,0.11027869343721906,0.4495055439017081,0.1477374887623614,43.35480970931975,43.709219858156025,35.01358695652175,44.19333333333333,41.61764705882352,6981.94,-0.3206199056863179,5.2666666666666675,-1.0000000000000002,66.923,0.14743781839976025,0.08770955972871948,72813.30536409949,0.4343329886246122,0.10858324715615306,0,0,0,0.0,West,39.5,0.0,0.0008990110878034162,0.013485166317051244,0.01438417740485466,0.0,0.0,0.0,0.0
2016.0,AK,Aleutians West Census Area,5634,0.3393681221157259,0.08164714235001774,0.4156904508342208,0.1396876109336173,40.79650337238197,42.39932008368201,36.027173913043484,41.45495303159692,40.77827191867853,4390.28,0.10832462341512404,5.811111111111112,-1.9000000000000004,84.726,0.07348242811501597,0.034077809798270894,81522.18672346468,0.40351993214588633,0.16115351993214588,0,0,0,0.0,West,39.3,0.0,0.0014199503017394391,0.025204117855875046,0.026624068157614485,0.0,0.0,0.0,0.0
2020.0,AK,Anchorage Municipality,288000,0.6377430555555555,0.08486458333333333,0.1271736111111111,0.09372222222222222,36.51698784722222,39.352384711711224,29.577656397037764,33.39806421667668,28.929682868998224,1704.68,2.2277496218954718,8.833333333333334,0.5,82.512,0.09248611111111112,0.026786278624678243,81958.71180555556,0.25390358891069453,0.32252374185107485,0,0,0,3.13,West,33.6,0.0009444444444444445,0.014590277777777778,0.07134375,0.08687847222222222,2.0833333333333333e-05,0.000125,0.00036805555555555555,0.0005138888888888889
2050.0,AK,Bethel Census Area,18386,0.10290438377025998,0.013706080713586425,0.016262373545088655,0.02735777221799195,30.908435766343956,39.81104651162791,29.61309523809524,35.34280936454849,18.94135188866799,40570.0,-0.3437177519236374,12.266666666666666,-3.0999999999999996,48.262,0.23109974980963777,0.03474935988021273,42772.97944087893,0.4614991482112436,0.10255536626916524,0,0,0,0.0,West,33.0,0.00016316762754269552,0.006091591428260633,0.1751332535624932,0.18138801261829654,0.0,5.438920918089851e-05,0.0008702273468943762,0.0009246165560752747
2060.0,AK,Bristol Bay Borough,836,0.41626794258373206,0.0430622009569378,0.061004784688995214,0.07416267942583732,41.29485645933014,46.27155172413793,25.97222222222222,35.73529411764705,20.161290322580644,503.84,0.21991363414654774,7.800000000000001,-1.5,87.95,0.09569377990430622,0.03344092103949689,185753.58851674641,0.37553956834532376,0.21294964028776978,0,0,0,0.0,West,37.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2068.0,AK,Denali Borough,2097,0.8292799237005246,0.030042918454935622,0.06294706723891273,0.03814973772055317,39.30495946590367,39.676538240368025,33.373015873015866,33.1060606060606,38.8125,12751.41,-0.7839597795095194,12.988888888888889,-0.9000000000000004,78.434,0.06294706723891273,0.03586748164490578,136579.3991416309,0.272544080604534,0.3395465994962217,0,0,0,0.0,West,27.8,0.0,0.004291845493562232,0.02575107296137339,0.030042918454935622,0.0,0.0,0.0,0.0
2070.0,AK,Dillingham Census Area,4916,0.15785191212367777,0.016883645240032545,0.022782750203417412,0.037021969080553295,33.47284377542718,41.34020618556701,27.379518072289155,33.23660714285714,22.36263736263736,18568.78,-0.5771714965865806,7.944444444444445,-1.6000000000000005,57.436,0.17961757526444264,0.041587482579500824,60204.43449959317,0.3877670471173544,0.1922739244951712,0,0,0,0.0,West,35.8,0.0,0.0018307567127746134,0.02868185516680228,0.030512611879576892,0.0,0.0,0.0002034174125305126,0.0002034174125305126
2090.0,AK,Fairbanks North Star Borough,96849,0.7561255149769228,0.07026401924645582,0.054022240807855525,0.08196264287705604,35.142567295480596,36.74231872183531,27.455547391623803,31.67670107033639,27.363630637440163,7338.21,1.120505004887332,7.411111111111111,-0.7000000000000002,74.076,0.06872554182283762,0.0033401362576843444,61716.073475203666,0.24565746915305675,0.2731568369071863,0,0,0,-14.76,West,28.2,0.000877654906090925,0.011130729279600203,0.04733141281789177,0.0593397970035829,2.0650703672727648e-05,0.00011357887020000207,0.00013422957387272972,0.00026845914774545945
2100.0,AK,Haines Borough,2530,0.7976284584980237,0.01699604743083004,0.02292490118577075,0.03596837944664032,45.03557312252965,46.337958374628336,37.03488372093023,37.32758620689655,36.758241758241766,2318.6,0.03789468964719412,15.922222222222224,0.5,62.548,0.09762845849802372,0.04776192362474821,49137.549407114624,0.31076759061833686,0.3331556503198294,0,0,0,0.0,West,34.4,0.0,0.001976284584980237,0.004347826086956522,0.006324110671936759,0.0,0.0,0.0,0.0
2105.0,AK,Hoonah-Angoon Census Area,2148,0.4883612662942272,0.036312849162011177,0.023277467411545624,0.0595903165735568,45.726256983240226,49.84509056244042,41.217948717948715,41.0,31.6015625,7524.92,-0.5444676101296272,13.488888888888887,-0.7999999999999989,53.141,0.1564245810055866,0.05978490431166131,45554.469273743016,0.3968079251513484,0.20088057237204182,0,0,0,0.0,West,37.7,0.0,0.0111731843575419,0.013500931098696461,0.024674115456238363,0.0,0.0,0.0004655493482309125,0.0004655493482309125
